id_game,title,genre,price
192,Borderlands 2(2012),Loot,$4.99
193,Crypt of the NecroDancer(2015),Rhythm,$14.99
194,Game Dev Tycoon(2013),Management,$9.99
195,Supreme Commander: Forged Alliance(2011),Strategy,$12.99
196,Gravitas(2019),Puzzle,Free
197,Sally Face - Episode One(2016),Story Rich,$2.99
198,Project Kat - Paper Lily Prologue(2021),Anime,Free
199,Aim Lab(2018),FPS,Free
200,Kingdom Rush - Tower Defense(2014),Tower Defense,$9.99
201,Devil May Cry 5(2019),Action,$29.99
202,Age of Empires II: Definitive Edition(2019),Strategy,$7.99
203,Total War: MEDIEVAL II – Definitive Edition(2006),Strategy,$24.99
204,Cube Escape Collection(2020),Mystery,$4.99
205,Mafia II (Classic)(2011),Action,$29.99
206,Gunfire Reborn(2021),FPS,$19.99
207,Little Nightmares(2017),Horror,$19.99
208,Nuclear Throne(2015),Action Roguelike,$11.99
209,MADNESS: Project Nexus(2021),Arena Shooter,$24.99
210,Cube Escape: Paradox(2018),Puzzle,Free
211,Mini Metro(2015),Strategy,$9.99
212,Shovel Knight: Treasure Trove(2014),Platformer,$39.99
213,Aventura Copilului Albastru și Urât(2021),Adventure,$1.99
214,Geometry Dash(2014),Difficult,$3.99
215,shapez(2020),Automation,$9.99
216,The Talos Principle(2014),Puzzle,$39.99
217,Yakuza 0(2018),Action,$19.99
218,Outer Wilds(2020),Exploration,$24.99
219,Monster Girl Island: Prologue(2019),Sexual Content,Free
220,Resident Evil 7 Biohazard(2017),Horror,$29.99
221,Hook(2015),Casual,$0.99
222,The Test: Hypothesis Rising(2020),Multiple Endings,$1.59
223,Spiritfarer®: Farewell Edition(2020),Emotional,$29.99
224,CarX Drift Racing Online(2017),Racing,$14.99
225,NEKOPARA Vol(2014),Hentai,$9.99
226,Cruelty Squad(2021),Capitalism,$19.99
227,Riddle Joker(2020),Visual Novel,$34.99
228,VTOL VR(2017),Flight,$29.99
229,Desperados III(2020),Strategy,$49.99
230,Nova Drift(2019),Action Roguelike,$14.99
231,100 hidden frogs(2021),Hidden Object,Free
232,Mindustry(2019),Base Building,$5.99
233,Samsara Room(2020),Adventure,Free
234,What Remains of Edith Finch(2017),Story Rich,$19.99
235,Monster Prom 2: Monster Camp(2020),Dating Sim,$11.99
236,Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™(2014),Atmospheric,$14.99
237,Ultimate Doom(1995),FPS,$4.99
238,Being a DIK - Season 1(2020),Sexual Content,$13.99
239,Marco & The Galaxy Dragon(2020),Visual Novel,$19.99
240,FIVE NIGHTS AT FREDDY'S: HELP WANTED(2019),Horror,$29.99
241,Sayonara Wild Hearts(2019),Great Soundtrack,$12.99
242,Universe Sandbox(2015),Sandbox,$29.99
243,Trine 2: Complete Story(2013),Puzzle Platformer,$19.99
244,Rise of the Tomb Raider™(2016),Adventure,$9.99
245,The Supper(2020),Adventure,Free
246,Little Nightmares II(2021),Horror,$29.99
247,missed messages(2019),Visual Novel,Free
248,Star Fetchers(2020),Action,Free
249,第七号列车 - Train No(2021),Casual,Free
250,Superflight(2017),Flight,$2.99
